from,to
"Erysipelotrichaceae","Absiella"
"Rodentibacter","Rodentibacter pneumotropicus"
"Mycobacterium","Mycobacterium avium"
"Methanothrix","Methanosaeta harundinacea"
"Aequorivita","Aequorivita sublithincola"
"Corynebacterium","Corynebacterium pseudopelargi"
"Acetobacteraceae","Neoasaia"
"Verrucomicrobium","Verrucomicrobium sp. GAS474"
"Syntrophaceae","Desulfobacca"
"Archaea","Candidatus Micrarchaeota"
"Ignavibacterium","Ignavibacterium album"
"Thermosipho","Thermosipho melanesiensis"
"Leuconostoc","Leuconostoc pseudomesenteroides"
"Staphylococcus","Staphylococcus condimenti"
"Thermotoga","Thermotoga sp. RQ2"
"Nocardioidaceae","Aeromicrobium"
"Candidatus Midichloria","Candidatus Midichloria mitochondrii"
"Dolosigranulum","Dolosigranulum pigrum"
"Betaproteobacteria","Neisseriales"
"Pseudoalteromonas","Pseudoalteromonas sp. Bsw20308"
"Enterobacteriaceae","Citrobacter"
"Parasphingorhabdus","Parasphingorhabdus flavimaris"
"Rhodobacteraceae","Epibacterium"
"Planctomycetes","Planctomycetes bacterium MalM25"
"Piscirickettsiaceae","Methylophaga"
"Micromonosporaceae","Micromonosporaceae bacterium DSM 106523"
"Pectobacterium","Pectobacterium parmentieri"
"Eggerthella","Eggerthella lenta"
"Pasteurellaceae","Otariodibacter"
"Borrelia","Borrelia crocidurae"
"Thermoanaerobacteraceae","Moorella"
"Pseudoalteromonas","Pseudoalteromonas piratica"
"Parasphingorhabdus","Parasphingorhabdus sp. JHSY0214"
"Eggerthellaceae","Eggerthellaceae bacterium zg-1050"
"Mycobacterium","Mycobacterium tuberculosis"
"Kosakonia","Kosakonia oryzae"
"Streptomyces","Streptomyces sp. LBUM 1475"
"Clostridia","Koleobacterales"
"Leuconostoc","Leuconostoc sp. C2"
"Marinobacter","Marinobacter sp. BSs20148"
"Methanobacterium","Methanobacterium sp. MZ-A1"
"Pseudoxanthomonas","Pseudoxanthomonas suwonensis"
"Clostridium","Clostridium bovifaecis"
"Synechococcus","Synechococcus sp. CBW1004"
"Leptotrichiaceae","Pseudoleptotrichia"
"Mycoplasmataceae","Mycoplasma"
"Methylobacterium","Methylobacterium sp. AMS5"
"Wolbachia","Wolbachia sp. wRi"
"Methylovorus","Methylovorus glucosotrophus"
"Pediococcus","Pediococcus damnosus"
"Paenibacillus","Paenibacillus sp. FSL R7-0331"
"Pectobacterium","Pectobacterium odoriferum"
"Burkholderia","Burkholderia pseudomallei"
"Nakamurellaceae","Nakamurella"
"Lacrimispora","Lacrimispora saccharolytica"
"Brevibacillus","Brevibacillus agri"
"Alteromonadaceae","Alteromonas"
"Azospirillum","Azospirillum baldaniorum"
"Bordetella","Bordetella parapertussis"
"Companilactobacillus","Companilactobacillus futsaii"
"Serpentinomonas","Serpentinomonas raichei"
"Pyrobaculum","Pyrobaculum sp. WP30"
"Streptomyces","Streptomyces rubrolavendulae"
