from,to,amount
"Algibacter alginicilyticus HZ22","GT1",1
"Algibacter alginicilyticus HZ22","GT2",31
"Algibacter alginicilyticus HZ22","GT4",23
"Algibacter alginicilyticus HZ22","GT5",2
"Algibacter alginicilyticus HZ22","GT9",3
"Algibacter alginicilyticus HZ22","GT11",1
"Algibacter alginicilyticus HZ22","GT19",1
"Algibacter alginicilyticus HZ22","GT28",1
"Algibacter alginicilyticus HZ22","GT30",1
"Algibacter alginicilyticus HZ22","GT32",1
"Algibacter alginicilyticus HZ22","GT51",4
"Algibacter alginicilyticus HZ22","GT0",1
"Algibacter alginicilyticus HZ22","PL1",1
"Algibacter alginicilyticus HZ22","PL6",3
"Algibacter alginicilyticus HZ22","PL7",3
"Algibacter alginicilyticus HZ22","PL8",4
"Algibacter alginicilyticus HZ22","PL10",1
"Algibacter alginicilyticus HZ22","PL12",2
"Algibacter alginicilyticus HZ22","PL17",1
"Algibacter alginicilyticus HZ22","PL38",1
"Algibacter alginicilyticus HZ22","PL40",4
"Algibacter alginicilyticus HZ22","PL0",1
"Algibacter alginicilyticus HZ22","CE4",1
"Algibacter alginicilyticus HZ22","CE6",2
"Algibacter alginicilyticus HZ22","CE7",2
"Algibacter alginicilyticus HZ22","CE9",1
"Algibacter alginicilyticus HZ22","CE11",1
"Algibacter alginicilyticus HZ22","CE12",2
"Algibacter alginicilyticus HZ22","CE14",1
"Algibacter alginicilyticus HZ22","CBM6",2
"Algibacter alginicilyticus HZ22","CBM35",1
"Algibacter alginicilyticus HZ22","CBM47",1
"Algibacter alginicilyticus HZ22","CBM48",1
"Algibacter alginicilyticus HZ22","CBM50",7
"Algibacter alginicilyticus HZ22","CBM57",1
"Alistipes finegoldii DSM 17242","GH2",7
"Alistipes finegoldii DSM 17242","GH3",7
"Alistipes finegoldii DSM 17242","GH5",2
"Alistipes finegoldii DSM 17242","GH13",8
"Alistipes finegoldii DSM 17242","GH18",9
"Alistipes finegoldii DSM 17242","GH20",10
"Alistipes finegoldii DSM 17242","GH23",2
"Alistipes finegoldii DSM 17242","GH26",1
"Alistipes finegoldii DSM 17242","GH28",2
"Alistipes finegoldii DSM 17242","GH29",3
"Alistipes finegoldii DSM 17242","GH31",1
"Alistipes finegoldii DSM 17242","GH36",1
"Alistipes finegoldii DSM 17242","GH37",1
"Alistipes finegoldii DSM 17242","GH38",1
"Alistipes finegoldii DSM 17242","GH57",1
"Alistipes finegoldii DSM 17242","GH63",1
"Alistipes finegoldii DSM 17242","GH65",1
"Alistipes finegoldii DSM 17242","GH73",1
"Alistipes finegoldii DSM 17242","GH76",2
"Alistipes finegoldii DSM 17242","GH77",2
"Alistipes finegoldii DSM 17242","GH92",7
"Alistipes finegoldii DSM 17242","GH97",6
"Alistipes finegoldii DSM 17242","GH109",1
"Alistipes finegoldii DSM 17242","GH110",5
"Alistipes finegoldii DSM 17242","GH123",1
"Alistipes finegoldii DSM 17242","GH125",1
"Alistipes finegoldii DSM 17242","GH130",1
"Alistipes finegoldii DSM 17242","GH163",1
"Alistipes finegoldii DSM 17242","GH164",1
"Alistipes finegoldii DSM 17242","GH171",1
"Alistipes finegoldii DSM 17242","GT2",17
"Alistipes finegoldii DSM 17242","GT3",1
"Alistipes finegoldii DSM 17242","GT4",13
"Alistipes finegoldii DSM 17242","GT5",1
"Alistipes finegoldii DSM 17242","GT9",1
"Alistipes finegoldii DSM 17242","GT14",1
"Alistipes finegoldii DSM 17242","GT19",1
"Alistipes finegoldii DSM 17242","GT28",1
"Alistipes finegoldii DSM 17242","GT30",1
"Alistipes finegoldii DSM 17242","GT32",1
"Alistipes finegoldii DSM 17242","GT35",1
"Alistipes finegoldii DSM 17242","GT51",2
"Alistipes finegoldii DSM 17242","GT0",2
"Alistipes finegoldii DSM 17242","CE2",1
"Alistipes finegoldii DSM 17242","CE4",2
"Alistipes finegoldii DSM 17242","CE11",1
"Alistipes finegoldii DSM 17242","CBM20",4
"Alistipes finegoldii DSM 17242","CBM48",1
"Alistipes finegoldii DSM 17242","CBM50",3
"Alistipes finegoldii DSM 17242","CBM58",1
"Alistipes finegoldii DSM 17242","CBM0",1
"Alistipes communis 5CBH24","GH2",8
"Alistipes communis 5CBH24","GH3",4
"Alistipes communis 5CBH24","GH13",3
"Alistipes communis 5CBH24","GH15",1
"Alistipes communis 5CBH24","GH16",3
"Alistipes communis 5CBH24","GH18",3
"Alistipes communis 5CBH24","GH20",4
"Alistipes communis 5CBH24","GH23",2
"Alistipes communis 5CBH24","GH24",1
"Alistipes communis 5CBH24","GH26",2
"Alistipes communis 5CBH24","GH27",1
"Alistipes communis 5CBH24","GH36",1
"Alistipes communis 5CBH24","GH37",1
"Alistipes communis 5CBH24","GH38",2
"Alistipes communis 5CBH24","GH39",1
"Alistipes communis 5CBH24","GH49",1
"Alistipes communis 5CBH24","GH57",1
"Alistipes communis 5CBH24","GH73",1
"Alistipes communis 5CBH24","GH77",1
"Alistipes communis 5CBH24","GH78",2
"Alistipes communis 5CBH24","GH92",3
"Alistipes communis 5CBH24","GH97",2
"Alistipes communis 5CBH24","GH106",2
"Alistipes communis 5CBH24","GH109",1
"Alistipes communis 5CBH24","GH123",2
