name	cellulose
Paludibacter propionicigenes WB4	no cellulose degrader
Pannonibacter phragmitetus	no cellulose degrader
Paracoccus denitrificans PD1222	no cellulose degrader
Parvibaculum lavamentivorans DS-1	no cellulose degrader
Pelagerythrobacter marensis	no cellulose degrader
Pelotomaculum thermopropionicum SI	no cellulose degrader
Persephonella marina EX-H1	no cellulose degrader
Planococcus antarcticus DSM 14505	no cellulose degrader
Polaribacter reichenbachii	no cellulose degrader
Polaribacter sp. Hel1_33_78	cellulose degrader
Polaribacter vadi	no cellulose degrader
Polaromonas naphthalenivorans CJ2	no cellulose degrader
Prevotella ruminicola 23	no cellulose degrader
Pseudomonas mendocina ymp	no cellulose degrader
Pseudothermotoga lettingae TMO	no cellulose degrader
Psychrobacter aquaticus CMS 56	no cellulose degrader
Pyrobaculum aerophilum str. IM2	no cellulose degrader
Pyrococcus abyssi GE5	no cellulose degrader
Pyrococcus horikoshii OT3	cellulose degrader
Rhizobium etli CFN 42	no cellulose degrader
Rhodobacter sphaeroides KD131	no cellulose degrader
Rhodococcus jostii RHA1	no cellulose degrader
Rhodococcus opacus PD630	no cellulose degrader
Rhodoferax ferrireducens T118	no cellulose degrader
Rhodospirillum rubrum ATCC 11170	no cellulose degrader
Robiginitalea biformata HTCC2501	no cellulose degrader
Rubrobacter radiotolerans	no cellulose degrader
Rubrobacter radiotolerans DSM 5868	no cellulose degrader
Rubrobacter xylanophilus DSM 9941	no cellulose degrader
Ruminococcus bicirculans	no cellulose degrader
Ruminococcus champanellensis 18P13 = JCM 17042	cellulose degrader
Ruminococcus flavefaciens 17	cellulose degrader
Ruminococcus sp. SR1/5	cellulose degrader
Runella zeae DSM 19591	no cellulose degrader
Saccharibacillus sacchari DSM 19268	cellulose degrader
Saccharicrinis fermentans DSM 9555 = JCM 21142	no cellulose degrader
Sagittula stellata E-37	cellulose degrader
Salibacterium halotolerans	no cellulose degrader
Salinispora tropica CNB-440	no cellulose degrader
Sanguibacter keddieii DSM 10542	no cellulose degrader
Simiduia agarivorans SA1 = DSM 21679	cellulose degrader
Singulisphaera acidiphila DSM 18658	no cellulose degrader
Sinorhizobium medicae WSM419	no cellulose degrader
Skermanella aerolata KACC 11604	cellulose degrader
Skermanella xinjiangensis	no cellulose degrader
Solitalea canadensis DSM 3403	no cellulose degrader
Sorangium cellulosum So ce56	cellulose degrader
Sphaerobacter thermophilus DSM 20745	no cellulose degrader
Sporocytophaga myxococcoides DSM 11118	cellulose degrader
Stackebrandtia nassauensis DSM 44728	cellulose degrader
Staphylothermus hellenicus DSM 12710	no cellulose degrader
Streptococcus thermophilus LMD-9	no cellulose degrader
Streptomyces himastatinicus ATCC 53653	no cellulose degrader
Streptomyces reticuli	cellulose degrader
Streptomyces sp. ACT-1	cellulose degrader
Streptosporangium roseum DSM 43021	no cellulose degrader
Sulfolobus acidocaldarius DSM 639	no cellulose degrader
Sulfurimonas denitrificans DSM 1251	no cellulose degrader
Sulfurospirillum deleyianum DSM 6946	no cellulose degrader
Synechococcus elongatus PCC 7942 = FACHB-805	no cellulose degrader
Synechococcus sp. CC9605	no cellulose degrader
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	no cellulose degrader
Syntrophus aciditrophicus SB	no cellulose degrader
Tenacibaculum maritimum NCIMB 2154	no cellulose degrader
Tenacibaculum ovolyticum DSM 18103	no cellulose degrader
Teredinibacter turnerae 1133Y.S.0a.04	cellulose degrader
Teredinibacter turnerae T0609	cellulose degrader
Teredinibacter turnerae T7901	cellulose degrader
Teredinibacter turnerae T7902	cellulose degrader
Teredinibacter turnerae T8402	cellulose degrader
Teredinibacter turnerae T8412	cellulose degrader
Teredinibacter turnerae T8415	cellulose degrader
Teredinibacter turnerae T8513	cellulose degrader
Teredinibacter turnerae T8602	cellulose degrader
Terriglobus roseus	no cellulose degrader
Terriglobus roseus DSM 18391	no cellulose degrader
Terriglobus saanensis SP1PR4	no cellulose degrader
Thermaerobacter marianensis DSM 12885	cellulose degrader
Thermoanaerobacterium xylanolyticum LX-11	no cellulose degrader
Thermobispora bispora DSM 43833	no cellulose degrader
Thermococcus sp. 2319x1	cellulose degrader
Thermoflexus hugenholtzii JAD2	no cellulose degrader
Thermogemmatispora carboxidivorans	cellulose degrader
Thermogemmatispora onikobensis	cellulose degrader
Thermomonospora curvata DSM 43183	no cellulose degrader
Thermosphaera aggregans DSM 11486	no cellulose degrader
Thermotoga petrophila RKU-1	cellulose degrader
Thermovirga lienii DSM 17291	no cellulose degrader
Thioalkalivibrio sulfidiphilus HL-EbGr7	no cellulose degrader
Thiobacillus denitrificans ATCC 25259	no cellulose degrader
Treponema caldarium DSM 7334	no cellulose degrader
Ulvibacter litoralis	no cellulose degrader
Victivallis vadensis ATCC BAA-548	no cellulose degrader
Woeseia oceani	no cellulose degrader
Xylanimonas cellulosilytica DSM 15894	cellulose degrader
Zavarzinella formosa DSM 19928	no cellulose degrader
Zobellia galactanivorans	no cellulose degrader
Zobellia uliginosa	no cellulose degrader
Zunongwangia profunda SM-A87	no cellulose degrader
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	no cellulose degrader
Pseudonocardia dioxanivorans CB1190	cellulose degrader
Psychromicrobium lacuslunae IHBB 11108	no cellulose degrader
Rhodococcus coprophilus NCTC10994	cellulose degrader
Ruminiclostridium cellulolyticum H10	cellulose degrader
Saccharophagus degradans 2-40	cellulose degrader
Saccharopolyspora erythraea NRRL 2338	cellulose degrader
Nonomuraea gerenzanensis ATCC 39727	no cellulose degrader
Nocardiopsis dassonvillei NCTC10488	cellulose degrader
Lysobacter gummosus 3.2.11	no cellulose degrader
